Date,Region,AveragePrice,Index,SalesVolume,DetachedPrice,SemiDetachedPrice,TerracedPrice,FlatPrice,GVA (millions),Population,dist_from_lon,dist_from_lon_index,Unemployment,Population_nom,Claim_count,Unemployment_rate,GDP_per_cap,Inflation_index,Inflation,M4_growth,M4_supply,Yield_slope_r,Yield_slope_blc,Yield_slope,Local_pshs,Local_pshs_monthly,Regional_PSHS,Outstanding_perc,Good_perc,Inad_perc,2yr_95ltv,5yr_95ltv,2yr_90ltv,2yr_75ltv,3yr_75_ltv,5yr_75ltv,2yr-60ltv,2yr_85ltv,2yr_75ltvbtl,Migrant_inflow,Migrant_outflow,Net_immigration,Non_UK_born,Migrant_inflow_monthly,Migrant_outflow_monthly,Net_immigration_monthly,Cur_def_perc_gdp,Budget_deficit,Bank_rate,Bank_rate_change_indicator,Regional_population,LFS_population,LFS_active,LFS_employed,LFS_unemployed,LFS_active_perc,LFS_unemployed_perc,Quarter_indicator,GVA_diff,Nationwide_average_hprice_region,Nationwide_index_region
1995-03-31,East Midlands,119370.66444538462,75.73600528880341,19963.0,170981.0356694017,108379.93439735043,88742.47089641026,72134.05706042734,73678.66666666666,4116748.3333333335,159840.00461783828,17.100195325759426,74394.46153846153,4262800.0,156141.66666666663,0.03274234326885053,17053.32004744125,579.1333333333338,0.0034059633943693437,2.2000000000000015,517.4123618003283,1.448050848517276,1.3024803043842115,1.448050848517276,,,2950.0,21.946153846153845,52.63589743589743,5.0307692307692315,,,,,,,,,,38167.5,15185.0,22982.5,535000.0,9541.875,3796.25,5745.625,0.40000000000000024,,6.458333333333337,0.0,1107553570.0,2578000.0,2000000.0,1849000.0,151333.33333333328,0.7757951174055906,0.07566787176982082,1,430.0,46954.98106768685,46954.98106768685
1995-06-30,East Midlands,121925.15023871795,77.37476806059829,20573.0,174626.95802931627,110711.33916444448,90623.36313470089,73700.38825102567,74141.33333333334,4121318.3333333335,159840.00461783828,17.100195325759426,74394.46153846153,4262800.0,145178.33333333334,0.030141346576754435,17163.586730225434,589.6666666666669,0.005192564444029969,1.399999999999999,527.1123360730442,1.3007646478054602,1.2093037519701804,1.3007646478054602,,,3600.0,21.946153846153845,52.63589743589743,5.0307692307692315,,,,,,,,,,38167.5,15185.0,22982.5,535000.0,9541.875,3796.25,5745.625,-1.399999999999999,,6.625,0.0,1107553570.0,2581000.0,2010000.0,1866666.6666666663,143333.3333333333,0.7787675970409368,0.07131228276532078,2,473.0,46796.82986588372,46796.82986588372
1995-09-30,East Midlands,124078.93846299143,78.73541633683762,19818.0,178128.29259803417,112680.34743153844,92216.51973376072,74790.3771868376,77125.66666666667,4282421.333333334,159840.00461783828,17.100195325759426,74394.46153846153,4262800.0,144604.99999999997,0.029883777712669358,17163.554852578287,591.2333333333335,0.0017560105689775618,2.2000000000000015,537.8818423605337,1.5969661473383707,1.5529536052310893,1.5969661473383707,,,2670.0,21.946153846153845,52.63589743589743,5.0307692307692315,,,,,,,,,,38167.5,15185.0,22982.5,535000.0,9541.875,3796.25,5745.625,-1.2000000000000006,,6.625,0.0,1107553570.0,2584000.0,2018000.0,1879333.3333333337,138666.6666666667,0.7809595307632013,0.06871401921338519,3,1230.0,47552.28452525976,47552.28452525976
1995-12-31,East Midlands,126717.58902470086,80.40557458034186,21052.0,182650.1184675214,115146.96336205129,94180.09521769229,76366.9254946154,77255.66666666666,4283818.666666667,159840.00461783828,17.100195325759426,74394.46153846153,4262800.0,136925.00000000006,0.02821704813895323,17204.714557642677,592.1666666666669,0.0002347296830185567,2.5999999999999983,549.8047928336671,1.557001679047922,1.5786291559897574,1.557001679047922,,,2330.0,21.946153846153845,52.63589743589743,5.0307692307692315,,,,,,,,,,38167.5,15185.0,22982.5,535000.0,9541.875,3796.25,5745.625,-0.5,,6.583333333333337,0.0,1107553570.0,2587000.0,2028333.3333333333,1879333.3333333337,149000.0,0.7840480772144262,0.07345738096214761,4,127.0,47369.712348971305,47369.712348971305
1996-03-31,East Midlands,129202.40794393163,81.86422840435895,20900.0,186572.960431453,117380.18925324787,95901.60073837607,77631.9147588034,77727.0,4286431.0,159840.00461783828,17.100195325759426,74394.46153846153,4262800.0,144581.6666666667,0.02999811135445781,17307.559761938184,595.1666666666669,0.0017977158464932785,2.4000000000000012,564.2148883148039,1.930041330151838,2.1005016942400996,1.930041330151838,,,3060.0,21.946153846153845,52.63589743589743,5.0307692307692315,,,,,,,,,,38167.5,15185.0,22982.5,535000.0,9541.875,3796.25,5745.625,-0.6999999999999995,,6.135416666666663,0.0,1107553570.0,2590000.0,2026000.0,1875333.3333333337,150666.66666666672,0.7822392116202186,0.07436768667385149,1,959.0,46913.8188717797,46913.8188717797
1996-06-30,East Midlands,131667.00052829058,83.42093945034189,20036.0,190313.26239350426,119636.93172213671,97644.95355119658,79355.91843948718,78431.66666666664,4290133.666666667,159840.00461783828,17.100195325759426,74394.46153846153,4262800.0,134241.66666666672,0.02776300025345266,17457.880122795705,602.933333333334,0.0032835766865063234,1.7999999999999987,574.0437515901759,2.0566073931635653,2.1459791235392074,2.0566073931635653,,,3630.0,21.946153846153845,52.63589743589743,5.0307692307692315,,,,,,,,,,38167.5,15185.0,22982.5,535000.0,9541.875,3796.25,5745.625,-0.5,,5.895833333333337,0.0,1107553570.0,2593000.0,2030000.0,1885000.0,144333.3333333333,0.7828767566800214,0.07110240313099402,2,262.0,48443.194681966146,48443.194681966146
1996-09-30,East Midlands,133465.26157641027,84.36849717111112,19682.0,192747.20440948723,121238.50546717945,99003.79102803417,80603.72781196586,80422.66666666667,4377994.666666666,159840.00461783828,17.100195325759426,74394.46153846153,4262800.0,131410.0,0.026595739691893685,17456.43466284485,603.966666666667,0.0017171358323615855,2.0,587.3331435143442,2.0771921735891268,2.1539526969983593,2.0771921735891268,,,3800.0,21.946153846153845,52.63589743589743,5.0307692307692315,,,,,,,,,,38167.5,15185.0,22982.5,535000.0,9541.875,3796.25,5745.625,-0.6000000000000003,,5.6875,0.0,1107553570.0,2595666.666666668,2044333.3333333333,1902666.6666666663,141666.6666666667,0.7875946691367481,0.06929541935170482,3,1083.0,48778.59552043998,48778.59552043998
1996-12-31,East Midlands,136175.1522723932,86.01117364940173,21180.0,196126.02374119655,123707.2323028205,101179.46391418802,82428.67611128204,80602.66666666666,4378218.666666667,159840.00461783828,17.100195325759426,74394.46153846153,4262800.0,114715.00000000001,0.02312791854633111,17516.838369446963,607.6333333333338,0.0013178848744158282,1.7999999999999987,600.7265315015719,1.0913551295205512,1.047865557166053,1.0913551295205512,,,3160.0,21.946153846153845,52.63589743589743,5.0307692307692315,,,,,,,,,,38167.5,15185.0,22982.5,535000.0,9541.875,3796.25,5745.625,-0.5,,5.895833333333337,0.0,1107553570.0,2598000.0,2037000.0,1904000.0,133000.0,0.7840651377310622,0.06528741943777126,4,166.0,50946.223869085625,50946.223869085625
1997-03-31,East Midlands,137101.45867435893,86.54943778017093,20040.0,197723.59693290602,124753.38808076922,101880.19928863246,83046.09545299146,80971.33333333334,4381490.333333334,159840.00461783828,17.100195325759426,74394.46153846153,4262800.0,111784.99999999999,0.022590733237205913,17594.846648492126,611.2333333333335,0.002185585486658519,3.099999999999998,615.8254793017693,1.0575087522355318,1.031448524904453,1.0575087522355318,,,3792.1367521367524,21.946153846153845,52.63589743589743,5.0307692307692315,7.313333333333333,8.290000000000001,,7.25,7.726666666666665,8.169999999999998,,,,38241.666666666664,15214.166666666668,23027.5,537000.0,9560.416666666666,3803.541666666667,5756.875,0.10000000000000006,20.070000000000014,5.9375,0.0,1107553570.0,2600000.0,2039666.6666666667,1914666.6666666663,125000.0,0.7844872075367961,0.061284366615699706,1,586.0,50644.5704318981,50644.5704318981
1997-06-30,East Midlands,134302.7294262393,84.59727073641025,18666.0,194586.64023230772,122438.07141418807,99828.01324606837,81940.0764211966,77839.66666666669,4173952.6666666665,159840.00461783828,17.100195325759426,74974.16216216216,4048700.0,97873.33333333334,0.019560445123930882,17732.865548228314,618.9666666666669,0.004438892214450041,2.299999999999998,628.2161895799798,0.5715998773058973,0.5693126525829301,0.5715998773058973,,,3770.0,21.946153846153845,52.63589743589743,5.0307692307692315,7.229999999999998,8.073333333333327,,7.17666666666667,7.603333333333333,7.953333333333325,,,,38390.0,15272.5,23117.5,541000.0,9597.5,3818.125,5779.375,0.10000000000000006,20.070000000000014,6.135416666666663,0.0,1107553570.0,2602000.0,2028666.6666666667,1911333.3333333337,116666.66666666664,0.7796574895127756,0.05750102021807192,2,103.0,50693.78081981929,50693.78081981929
